ORDERID,ORDERDATE,SHIPDATE,SHIPMODE,CUSTOMERID,PRODUCTID,ORDERCOSTPRICE,ORDERSELLINGPRICE
1,2021/11/08,2021/11/11,Second Class,CG-12520,FUR-BO-10001798,157,262.0
2,2021/11/08,2021/11/11,Second Class,CG-12520,FUR-CH-10000454,366,732.0
3,2021/06/12,2021/06/16,Second Class,DV-13045,OFF-LA-10000240,13,15.0
4,2020/10/11,2020/10/18,Standard Class,SO-20335,FUR-TA-10000577,575,958.0
5,2020/10/11,2020/10/18,Standard Class,SO-20335,OFF-ST-10000760,13,22.0
6,2019/06/09,2019/06/14,Standard Class,BH-11710,FUR-FU-10001487,24,49.0
7,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-AR-10002833,5,7.0
8,2019/06/09,2019/06/14,Standard Class,BH-11710,TEC-PH-10002275,544,907.0
9,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-BI-10003910,17,19.0
10,2019/06/09,2019/06/14,Standard Class,BH-11710,OFF-AP-10002892,103,115.0
11,2019/06/09,2019/06/14,Standard Class,BH-11710,FUR-TA-10001539,1024,1706.0
12,2019/06/09,2019/06/14,Standard Class,BH-11710,TEC-PH-10002033,729,911.0
13,2022/04/15,2022/04/20,Standard Class,AA-10480,OFF-PA-10002365,11,16.0
14,2021/12/05,2021/12/10,Standard Class,IM-15070,OFF-BI-10003656,286,408.0
15,2020/11/22,2020/11/26,Standard Class,HP-14815,OFF-AP-10002311,55,69.0
16,2020/11/22,2020/11/26,Standard Class,HP-14815,OFF-BI-10000756,2,3.0
17,2019/11/11,2019/11/18,Standard Class,PK-19075,OFF-ST-10004186,333,666.0
18,2019/05/13,2019/05/15,Second Class,AG-10270,OFF-ST-10000107,44,56.0
19,2019/08/27,2019/09/01,Second Class,ZD-21925,OFF-AR-10003056,7,9.0
20,2019/08/27,2019/09/01,Second Class,ZD-21925,TEC-PH-10001949,107,213.0
21,2019/08/27,2019/09/01,Second Class,ZD-21925,OFF-BI-10002215,11,23.0
22,2021/12/09,2021/12/13,Standard Class,KB-16585,OFF-AR-10000246,12,19.0
23,2021/12/09,2021/12/13,Standard Class,KB-16585,OFF-AP-10001492,30,60.0
24,2022/07/16,2022/07/18,Second Class,SF-20065,FUR-CH-10002774,43,71.0
25,2020/09/25,2020/09/30,Standard Class,EB-13870,FUR-TA-10000577,627,1045.0
26,2021/01/16,2021/01/20,Second Class,EH-13945,OFF-BI-10001634,7,12.0
27,2021/01/16,2021/01/20,Second Class,EH-13945,TEC-AC-10003027,82,91.0
28,2020/09/17,2020/09/21,Standard Class,TB-21520,FUR-BO-10004834,2158,3083.0
29,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-BI-10000474,5,10.0
30,2020/09/17,2020/09/21,Standard Class,TB-21520,FUR-FU-10004848,87,124.0
31,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-EN-10001509,3,3.0
32,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-AR-10004042,52,86.0
33,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-BI-10001525,5,7.0
34,2020/09/17,2020/09/21,Standard Class,TB-21520,OFF-AR-10001683,8,16.0
35,2022/10/19,2022/10/23,Second Class,MA-17560,OFF-PA-10000249,18,29.0
36,2021/12/08,2021/12/10,First Class,GH-14485,TEC-PH-10004977,659,1098.0
37,2021/12/08,2021/12/10,First Class,GH-14485,FUR-FU-10003664,134,191.0
38,2020/12/27,2020/12/31,Standard Class,SN-20710,OFF-EN-10002986,57,113.0
39,2020/12/27,2020/12/31,Standard Class,SN-20710,FUR-BO-10002545,373,532.0
